Inventory_ID,ID (SKU),Size,Color,Qty_on_hand,Qty_reserved,Qty_available,Qty_incoming,Reorder_point,Reorder_qty,Stock_status,Warehouse_location,Cost_price(INR),Supplier_ID,Last_restocked_at,Updated_at
APL-TOP-M-004-L-MAR,APL-TOP-M-004,L,Maroon,24,2,22,0,7,30,in_stock,MUM-FC1-F08-R3,1073,SUP-001,2026-06-15,2026-06-19
APL-TOP-M-004-XL-MAR,APL-TOP-M-004,XL,Maroon,23,3,20,0,5,20,in_stock,MUM-FC1-B08-R4,1073,SUP-001,2026-05-09,2026-06-05
APL-TOP-M-004-XXL-MAR,APL-TOP-M-004,XXL,Maroon,8,0,8,0,5,20,in_stock,MUM-FC1-D13-R5,1073,SUP-001,2026-04-22,2026-07-04
APL-TOP-M-005-XS-BEI,APL-TOP-M-005,XS,Beige,20,2,18,0,6,24,in_stock,DEL-FC1-F18-R5,571,SUP-002,2026-05-18,2026-06-18
APL-TOP-M-005-S-BEI,APL-TOP-M-005,S,Beige,6,0,6,0,12,48,low_stock,DEL-FC1-F06-R4,571,SUP-002,2026-05-06,2026-07-13
APL-TOP-M-005-M-BEI,APL-TOP-M-005,M,Beige,48,0,48,0,19,78,in_stock,DEL-FC1-B15-R2,571,SUP-002,2026-04-26,2026-05-29
APL-TOP-M-005-L-BEI,APL-TOP-M-005,L,Beige,65,7,58,0,18,72,in_stock,DEL-FC1-D09-R1,571,SUP-002,2026-06-19,2026-06-19
APL-TOP-M-005-XL-BEI,APL-TOP-M-005,XL,Beige,57,1,56,0,12,48,in_stock,DEL-FC1-F02-R1,571,SUP-002,2026-05-21,2026-06-02
APL-TOP-M-005-XXL-BEI,APL-TOP-M-005,XXL,Beige,38,2,36,0,7,30,in_stock,DEL-FC1-B15-R3,571,SUP-002,2026-06-06,2026-06-16
APL-TOP-M-005-XS-NAV,APL-TOP-M-005,XS,Navy,26,3,23,0,6,24,in_stock,DEL-FC1-C04-R5,571,SUP-002,2026-04-23,2026-06-01
APL-TOP-M-005-S-NAV,APL-TOP-M-005,S,Navy,50,7,43,0,12,48,in_stock,DEL-FC1-E08-R1,571,SUP-002,2026-05-28,2026-07-10
APL-TOP-M-005-M-NAV,APL-TOP-M-005,M,Navy,84,9,75,0,19,78,in_stock,DEL-FC1-D12-R1,571,SUP-002,2026-06-23,2026-07-13
APL-TOP-M-005-L-NAV,APL-TOP-M-005,L,Navy,62,0,62,0,18,72,in_stock,DEL-FC1-F15-R2,571,SUP-002,2026-06-14,2026-06-25
APL-TOP-M-005-XL-NAV,APL-TOP-M-005,XL,Navy,56,6,50,0,12,48,in_stock,DEL-FC1-D15-R4,571,SUP-002,2026-07-04,2026-07-08
APL-TOP-M-005-XXL-NAV,APL-TOP-M-005,XXL,Navy,25,1,24,0,7,30,in_stock,DEL-FC1-D19-R5,571,SUP-002,2026-07-14,2026-07-17
APL-TOP-M-006-XS-BLA,APL-TOP-M-006,XS,Black,17,0,17,0,6,24,in_stock,DEL-FC1-F09-R5,1392,SUP-004,2026-04-21,2026-06-26
APL-TOP-M-006-S-BLA,APL-TOP-M-006,S,Black,65,4,61,0,12,48,in_stock,DEL-FC1-F16-R4,1392,SUP-004,2026-06-16,2026-06-17
APL-TOP-M-006-M-BLA,APL-TOP-M-006,M,Black,52,2,50,0,19,78,in_stock,DEL-FC1-D18-R5,1392,SUP-004,2026-06-03,2026-06-30
APL-TOP-M-006-L-BLA,APL-TOP-M-006,L,Black,100,6,94,0,18,72,in_stock,DEL-FC1-B04-R2,1392,SUP-004,2026-05-30,2026-06-06
APL-TOP-M-006-XL-BLA,APL-TOP-M-006,XL,Black,57,1,56,0,12,48,in_stock,DEL-FC1-C19-R5,1392,SUP-004,2026-07-05,2026-07-09
APL-TOP-M-006-XXL-BLA,APL-TOP-M-006,XXL,Black,41,2,39,0,7,30,in_stock,DEL-FC1-F18-R2,1392,SUP-004,2026-05-25,2026-05-27
APL-TOP-M-006-XS-OLI,APL-TOP-M-006,XS,Olive,33,0,33,0,6,24,in_stock,DEL-FC1-D04-R1,1392,SUP-004,2026-07-02,2026-07-11
APL-TOP-M-006-S-OLI,APL-TOP-M-006,S,Olive,46,0,46,0,12,48,in_stock,DEL-FC1-D04-R1,1392,SUP-004,2026-06-10,2026-07-11
APL-TOP-M-006-M-OLI,APL-TOP-M-006,M,Olive,5,0,5,0,19,78,low_stock,DEL-FC1-A08-R1,1392,SUP-004,2026-06-30,2026-07-13
APL-TOP-M-006-L-OLI,APL-TOP-M-006,L,Olive,78,6,72,0,18,72,in_stock,DEL-FC1-D10-R5,1392,SUP-004,2026-06-13,2026-07-02
APL-TOP-M-006-XL-OLI,APL-TOP-M-006,XL,Olive,50,0,50,0,12,48,in_stock,DEL-FC1-F07-R3,1392,SUP-004,2026-07-13,2026-07-13
APL-TOP-M-006-XXL-OLI,APL-TOP-M-006,XXL,Olive,1,0,1,0,7,30,low_stock,DEL-FC1-D10-R1,1392,SUP-004,2026-05-19,2026-06-06
APL-TOP-M-007-XS-WHI,APL-TOP-M-007,XS,White,15,1,14,0,6,24,in_stock,DEL-FC1-B14-R1,749,SUP-005,2026-06-28,2026-07-05
APL-TOP-M-007-S-WHI,APL-TOP-M-007,S,White,53,0,53,0,12,48,in_stock,DEL-FC1-C20-R5,749,SUP-005,2026-05-26,2026-06-23
APL-TOP-M-007-M-WHI,APL-TOP-M-007,M,White,54,7,47,0,19,78,in_stock,DEL-FC1-D15-R1,749,SUP-005,2026-07-05,2026-07-05
APL-TOP-M-007-L-WHI,APL-TOP-M-007,L,White,94,0,94,0,18,72,in_stock,DEL-FC1-F19-R5,749,SUP-005,2026-04-22,2026-07-17
APL-TOP-M-007-XL-WHI,APL-TOP-M-007,XL,White,60,1,59,0,12,48,in_stock,DEL-FC1-D09-R2,749,SUP-005,2026-07-03,2026-07-16
APL-TOP-M-007-XXL-WHI,APL-TOP-M-007,XXL,White,3,0,3,30,7,30,low_stock,DEL-FC1-A06-R3,749,SUP-005,2026-06-11,2026-07-12
APL-TOP-M-007-XS-MUS,APL-TOP-M-007,XS,Mustard,19,1,18,0,6,24,in_stock,DEL-FC1-C09-R3,749,SUP-005,2026-05-04,2026-06-24
APL-TOP-M-007-S-MUS,APL-TOP-M-007,S,Mustard,9,0,9,48,12,48,low_stock,DEL-FC1-E12-R5,749,SUP-005,2026-06-22,2026-07-12
APL-TOP-M-007-M-MUS,APL-TOP-M-007,M,Mustard,74,1,73,0,19,78,in_stock,DEL-FC1-F16-R1,749,SUP-005,2026-04-23,2026-07-12
APL-TOP-M-007-L-MUS,APL-TOP-M-007,L,Mustard,18,0,18,72,18,72,low_stock,DEL-FC1-B04-R4,749,SUP-005,2026-05-05,2026-05-24
APL-TOP-M-007-XL-MUS,APL-TOP-M-007,XL,Mustard,47,1,46,0,12,48,in_stock,DEL-FC1-D08-R4,749,SUP-005,2026-06-29,2026-07-03
APL-TOP-M-007-XXL-MUS,APL-TOP-M-007,XXL,Mustard,27,3,24,0,7,30,in_stock,DEL-FC1-C14-R3,749,SUP-005,2026-06-23,2026-07-01
APL-TOP-M-008-XS-STE,APL-TOP-M-008,XS,Steel Grey,12,1,11,0,5,20,in_stock,DEL-FC1-D12-R3,342,SUP-003,2026-06-29,2026-07-16
APL-TOP-M-008-S-STE,APL-TOP-M-008,S,Steel Grey,18,2,16,0,5,20,in_stock,DEL-FC1-D08-R4,342,SUP-003,2026-04-25,2026-06-04
APL-TOP-M-008-M-STE,APL-TOP-M-008,M,Steel Grey,38,2,36,0,8,32,in_stock,DEL-FC1-F05-R4,342,SUP-003,2026-04-24,2026-05-10
APL-TOP-M-008-L-STE,APL-TOP-M-008,L,Steel Grey,30,3,27,0,7,30,in_stock,DEL-FC1-E15-R1,342,SUP-003,2026-05-08,2026-06-29
APL-TOP-M-008-XL-STE,APL-TOP-M-008,XL,Steel Grey,3,0,3,0,5,20,low_stock,DEL-FC1-F03-R3,342,SUP-003,2026-07-15,2026-07-18
APL-TOP-M-008-XXL-STE,APL-TOP-M-008,XXL,Steel Grey,17,1,16,0,5,20,in_stock,DEL-FC1-E03-R2,342,SUP-003,2026-07-09,2026-07-13
APL-TOP-M-008-XS-ELE,APL-TOP-M-008,XS,Electric Blue,13,0,13,0,5,20,in_stock,DEL-FC1-A15-R2,342,SUP-003,2026-05-28,2026-05-29
APL-TOP-M-008-S-ELE,APL-TOP-M-008,S,Electric Blue,12,0,12,0,5,20,in_stock,DEL-FC1-E14-R5,342,SUP-003,2026-05-13,2026-06-03
APL-TOP-M-008-M-ELE,APL-TOP-M-008,M,Electric Blue,24,2,22,0,8,32,in_stock,DEL-FC1-E05-R2,342,SUP-003,2026-06-18,2026-07-08
APL-TOP-M-008-L-ELE,APL-TOP-M-008,L,Electric Blue,7,0,7,30,7,30,low_stock,DEL-FC1-E06-R1,342,SUP-003,2026-06-15,2026-07-07
APL-TOP-M-008-XL-ELE,APL-TOP-M-008,XL,Electric Blue,27,2,25,0,5,20,in_stock,DEL-FC1-C07-R4,342,SUP-003,2026-06-20,2026-06-23
APL-TOP-M-008-XXL-ELE,APL-TOP-M-008,XXL,Electric Blue,9,1,8,0,5,20,in_stock,DEL-FC1-F13-R3,342,SUP-003,2026-04-21,2026-07-02
APL-TOP-M-009-XS-NAV,APL-TOP-M-009,XS,Navy,13,1,12,0,5,20,in_stock,BLR-FC1-B20-R3,2049,SUP-002,2026-05-18,2026-06-27
APL-TOP-M-009-S-NAV,APL-TOP-M-009,S,Navy,15,1,14,0,5,20,in_stock,BLR-FC1-B04-R1,2049,SUP-002,2026-05-29,2026-07-18
APL-TOP-M-009-M-NAV,APL-TOP-M-009,M,Navy,30,0,30,0,8,32,in_stock,BLR-FC1-F14-R2,2049,SUP-002,2026-05-15,2026-05-31
APL-TOP-M-009-L-NAV,APL-TOP-M-009,L,Navy,36,2,34,0,7,30,in_stock,BLR-FC1-B09-R4,2049,SUP-002,2026-05-27,2026-07-13
APL-TOP-M-009-XL-NAV,APL-TOP-M-009,XL,Navy,25,0,25,0,5,20,in_stock,BLR-FC1-B13-R5,2049,SUP-002,2026-06-05,2026-06-10
APL-TOP-M-009-XXL-NAV,APL-TOP-M-009,XXL,Navy,0,0,0,20,5,20,out_of_stock,BLR-FC1-D12-R3,2049,SUP-002,2026-07-03,2026-07-15
APL-TOP-M-009-XS-BLA,APL-TOP-M-009,XS,Black,1,0,1,0,5,20,low_stock,BLR-FC1-E11-R5,2049,SUP-002,2026-05-18,2026-06-28
APL-TOP-M-009-S-BLA,APL-TOP-M-009,S,Black,13,0,13,0,5,20,in_stock,BLR-FC1-B02-R1,2049,SUP-002,2026-05-28,2026-06-28
APL-TOP-M-009-M-BLA,APL-TOP-M-009,M,Black,22,1,21,0,8,32,in_stock,BLR-FC1-F18-R4,2049,SUP-002,2026-07-04,2026-07-15
APL-TOP-M-009-L-BLA,APL-TOP-M-009,L,Black,35,4,31,0,7,30,in_stock,BLR-FC1-C02-R3,2049,SUP-002,2026-05-17,2026-06-14
APL-TOP-M-009-XL-BLA,APL-TOP-M-009,XL,Black,19,2,17,0,5,20,in_stock,BLR-FC1-F12-R1,2049,SUP-002,2026-06-09,2026-06-26
APL-TOP-M-009-XXL-BLA,APL-TOP-M-009,XXL,Black,0,0,0,0,5,20,out_of_stock,BLR-FC1-D03-R2,2049,SUP-002,2026-07-11,2026-07-11
APL-BTM-M-010-XS-IND,APL-BTM-M-010,XS,Indigo,59,4,55,0,12,48,in_stock,BLR-FC1-B11-R2,873,SUP-006,2026-07-05,2026-07-05
APL-BTM-M-010-S-IND,APL-BTM-M-010,S,Indigo,78,6,72,0,24,96,in_stock,BLR-FC1-A01-R2,873,SUP-006,2026-04-21,2026-06-05
APL-BTM-M-010-M-IND,APL-BTM-M-010,M,Indigo,192,5,187,0,39,156,in_stock,BLR-FC1-F14-R5,873,SUP-006,2026-05-04,2026-05-12
APL-BTM-M-010-L-IND,APL-BTM-M-010,L,Indigo,141,2,139,0,36,144,in_stock,BLR-FC1-E02-R5,873,SUP-006,2026-05-28,2026-06-26
APL-BTM-M-010-XL-IND,APL-BTM-M-010,XL,Indigo,0,0,0,0,24,96,out_of_stock,BLR-FC1-D14-R1,873,SUP-006,2026-06-21,2026-07-13
APL-BTM-M-010-XXL-IND,APL-BTM-M-010,XXL,Indigo,0,0,0,60,15,60,out_of_stock,BLR-FC1-E05-R1,873,SUP-006,2026-05-06,2026-06-10
APL-BTM-M-010-XS-JET,APL-BTM-M-010,XS,Jet Black,52,2,50,0,12,48,in_stock,BLR-FC1-C15-R5,873,SUP-006,2026-07-06,2026-07-12
APL-BTM-M-010-S-JET,APL-BTM-M-010,S,Jet Black,65,6,59,0,24,96,in_stock,BLR-FC1-F07-R4,873,SUP-006,2026-06-16,2026-06-30
APL-BTM-M-010-M-JET,APL-BTM-M-010,M,Jet Black,145,15,130,0,39,156,in_stock,BLR-FC1-C09-R3,873,SUP-006,2026-05-09,2026-07-08
APL-BTM-M-010-L-JET,APL-BTM-M-010,L,Jet Black,7,0,7,144,36,144,low_stock,BLR-FC1-B18-R1,873,SUP-006,2026-07-04,2026-07-12
APL-BTM-M-010-XL-JET,APL-BTM-M-010,XL,Jet Black,100,13,87,0,24,96,in_stock,BLR-FC1-D02-R3,873,SUP-006,2026-07-05,2026-07-09
APL-BTM-M-010-XXL-JET,APL-BTM-M-010,XXL,Jet Black,52,5,47,0,15,60,in_stock,BLR-FC1-A12-R5,873,SUP-006,2026-06-06,2026-06-13
APL-BTM-M-011-XS-KHA,APL-BTM-M-011,XS,Khaki,30,2,28,0,6,24,in_stock,DEL-FC1-A20-R3,716,SUP-002,2026-04-23,2026-05-16
APL-BTM-M-011-S-KHA,APL-BTM-M-011,S,Khaki,39,2,37,0,12,48,in_stock,DEL-FC1-B19-R4,716,SUP-002,2026-04-28,2026-05-16
APL-BTM-M-011-M-KHA,APL-BTM-M-011,M,Khaki,17,0,17,78,19,78,low_stock,DEL-FC1-C06-R3,716,SUP-002,2026-05-29,2026-07-14
APL-BTM-M-011-L-KHA,APL-BTM-M-011,L,Khaki,61,8,53,0,18,72,in_stock,DEL-FC1-E02-R1,716,SUP-002,2026-05-24,2026-06-21
APL-BTM-M-011-XL-KHA,APL-BTM-M-011,XL,Khaki,54,2,52,0,12,48,in_stock,DEL-FC1-A12-R4,716,SUP-002,2026-05-04,2026-06-09
APL-BTM-M-011-XXL-KHA,APL-BTM-M-011,XXL,Khaki,34,1,33,0,7,30,in_stock,DEL-FC1-E02-R1,716,SUP-002,2026-05-16,2026-06-23
APL-BTM-M-011-XS-OLI,APL-BTM-M-011,XS,Olive,32,1,31,0,6,24,in_stock,DEL-FC1-D14-R2,716,SUP-002,2026-05-06,2026-06-23
APL-BTM-M-011-S-OLI,APL-BTM-M-011,S,Olive,49,4,45,0,12,48,in_stock,DEL-FC1-D02-R4,716,SUP-002,2026-04-22,2026-06-19
APL-BTM-M-011-M-OLI,APL-BTM-M-011,M,Olive,104,8,96,0,19,78,in_stock,DEL-FC1-D10-R1,716,SUP-002,2026-06-10,2026-06-11
APL-BTM-M-011-L-OLI,APL-BTM-M-011,L,Olive,98,6,92,0,18,72,in_stock,DEL-FC1-C03-R4,716,SUP-002,2026-05-03,2026-06-03
APL-BTM-M-011-XL-OLI,APL-BTM-M-011,XL,Olive,5,0,5,48,12,48,low_stock,DEL-FC1-B03-R5,716,SUP-002,2026-07-10,2026-07-11
APL-BTM-M-011-XXL-OLI,APL-BTM-M-011,XXL,Olive,30,1,29,0,7,30,in_stock,DEL-FC1-F05-R2,716,SUP-002,2026-05-03,2026-05-21
APL-BTM-M-011-XS-NAV,APL-BTM-M-011,XS,Navy,6,0,6,0,6,24,low_stock,DEL-FC1-F16-R4,716,SUP-002,2026-07-01,2026-07-15
APL-BTM-M-011-S-NAV,APL-BTM-M-011,S,Navy,54,7,47,0,12,48,in_stock,DEL-FC1-F11-R2,716,SUP-002,2026-06-15,2026-06-19
APL-BTM-M-011-M-NAV,APL-BTM-M-011,M,Navy,76,6,70,0,19,78,in_stock,DEL-FC1-A10-R4,716,SUP-002,2026-06-16,2026-06-18
APL-BTM-M-011-L-NAV,APL-BTM-M-011,L,Navy,3,0,3,72,18,72,low_stock,DEL-FC1-D19-R5,716,SUP-002,2026-04-25,2026-06-21
APL-BTM-M-011-XL-NAV,APL-BTM-M-011,XL,Navy,63,5,58,0,12,48,in_stock,DEL-FC1-A15-R1,716,SUP-002,2026-06-02,2026-07-17
APL-BTM-M-011-XXL-NAV,APL-BTM-M-011,XXL,Navy,6,0,6,30,7,30,low_stock,DEL-FC1-E20-R2,716,SUP-002,2026-06-05,2026-06-28
APL-BTM-M-012-XS-BLA,APL-BTM-M-012,XS,Black,0,0,0,20,5,20,out_of_stock,DEL-FC1-C03-R3,668,SUP-003,2026-05-02,2026-07-12
APL-BTM-M-012-S-BLA,APL-BTM-M-012,S,Black,22,2,20,0,5,20,in_stock,DEL-FC1-B11-R1,668,SUP-003,2026-07-03,2026-07-07
APL-BTM-M-012-M-BLA,APL-BTM-M-012,M,Black,43,4,39,0,8,32,in_stock,DEL-FC1-F03-R3,668,SUP-003,2026-06-30,2026-07-12
APL-BTM-M-012-L-BLA,APL-BTM-M-012,L,Black,6,0,6,0,7,30,low_stock,DEL-FC1-F17-R1,668,SUP-003,2026-07-11,2026-07-17
APL-BTM-M-012-XL-BLA,APL-BTM-M-012,XL,Black,0,0,0,20,5,20,out_of_stock,DEL-FC1-B11-R4,668,SUP-003,2026-05-14,2026-06-11
APL-BTM-M-012-XXL-BLA,APL-BTM-M-012,XXL,Black,0,0,0,20,5,20,out_of_stock,DEL-FC1-A17-R5,668,SUP-003,2026-06-26,2026-06-27
APL-BTM-M-012-XS-GRE,APL-BTM-M-012,XS,Grey Melange,11,0,11,0,5,20,in_stock,DEL-FC1-B20-R2,668,SUP-003,2026-06-15,2026-06-17
APL-BTM-M-012-S-GRE,APL-BTM-M-012,S,Grey Melange,18,1,17,0,5,20,in_stock,DEL-FC1-F15-R2,668,SUP-003,2026-06-27,2026-07-04
APL-BTM-M-012-M-GRE,APL-BTM-M-012,M,Grey Melange,27,3,24,0,8,32,in_stock,DEL-FC1-E15-R4,668,SUP-003,2026-05-26,2026-07-14
APL-BTM-M-012-L-GRE,APL-BTM-M-012,L,Grey Melange,27,3,24,0,7,30,in_stock,DEL-FC1-B09-R1,668,SUP-003,2026-07-11,2026-07-18
