Order_item_ID,Order_ID,Customer_ID,Order_date,ID (SKU),Inventory_ID,Size,Color,Quantity,Unit_price(INR),Line_total(INR),Payment_method,Payment_status,Order_status,Warehouse_shipped_from,Courier_partner,Tracking_number,Shipped_at,Expected_delivery,Delivered_at,Return_reason,Shipping_city,Shipping_pincode
OI-000011,ORD-2026-000008,CUST-0073,2026-07-15 16:23,APL-TOP-F-024,APL-TOP-F-024-M-GRE,M,Grey,1,1499,1499,UPI,paid,shipped,MUM-FC1,Delhivery,AWB6980221859,2026-07-17,2026-07-23,,,Jaipur,302001
OI-000012,ORD-2026-000009,CUST-0103,2026-07-18 11:28,APL-BTM-M-067,APL-BTM-M-067-L-BRO,L,Brown,1,1799,1799,UPI,paid,confirmed,MUM-FC1,,,,,,,Bengaluru,560001
OI-000013,ORD-2026-000010,CUST-0019,2026-06-20 10:40,APL-BTM-F-034,APL-BTM-F-034-XS-BLA,XS,Black,1,1299,1299,COD,paid,delivered,DEL-FC1,XpressBees,AWB2339395518,2026-06-21,2026-06-26,2026-06-23,,Mumbai,400001
OI-000014,ORD-2026-000011,CUST-0123,2026-07-05 08:13,APL-TOP-F-068,APL-TOP-F-068-L-IVO,L,Ivory,1,1299,1299,UPI,paid,delivered,DEL-FC1,DTDC,AWB6012407366,2026-07-06,2026-07-08,2026-07-08,,Jaipur,302001
OI-000015,ORD-2026-000012,CUST-0058,2026-06-12 20:54,APL-BTM-M-013,APL-BTM-M-013-M-STO,M,Stone Grey,1,1299,1299,COD,paid,delivered,DEL-FC1,DTDC,AWB5250315046,2026-06-14,2026-06-16,2026-06-17,,Hyderabad,500001
OI-000016,ORD-2026-000013,CUST-0089,2026-06-01 13:23,APL-TOP-M-008,APL-TOP-M-008-M-ELE,M,Electric Blue,2,799,1598,COD,paid,delivered,DEL-FC1,XpressBees,AWB8099486649,2026-06-03,2026-06-05,2026-06-09,,Pune,411001
OI-000017,ORD-2026-000014,CUST-0052,2026-07-05 20:40,APL-BTM-F-077,APL-BTM-F-077-XS-ECR,XS,Ecru,1,2299,2299,Wallet,paid,delivered,BLR-FC1,XpressBees,AWB1545625652,2026-07-07,2026-07-10,2026-07-09,,Kolkata,700001
OI-000018,ORD-2026-000014,CUST-0052,2026-07-05 20:40,APL-TOP-F-023,APL-TOP-F-023-L-EME,L,Emerald,1,2299,2299,Wallet,paid,delivered,BLR-FC1,XpressBees,AWB1545625652,2026-07-07,2026-07-10,2026-07-09,,Kolkata,700001
OI-000019,ORD-2026-000015,CUST-0122,2026-06-29 16:35,APL-BTM-F-030,APL-BTM-F-030-M-BLU,M,Blush Pink,1,1499,1499,Wallet,refunded,returned,DEL-FC1,DTDC,AWB4753401357,2026-07-01,2026-07-06,2026-07-02,Color mismatch,Lucknow,226001
OI-000020,ORD-2026-000016,CUST-0151,2026-06-22 21:08,APL-BTM-F-079,APL-BTM-F-079-XL-BLA,XL,Black,1,1299,1299,Netbanking,paid,delivered,MUM-FC1,DTDC,AWB3284170838,2026-06-24,2026-06-27,2026-06-29,,Lucknow,226001
OI-000021,ORD-2026-000017,CUST-0156,2026-07-17 10:09,APL-BTM-F-083,APL-BTM-F-083-L-DEE,L,Deep Plum,1,1499,1499,COD,pending,confirmed,MUM-FC1,,,,,,,Pune,411001
OI-000022,ORD-2026-000018,CUST-0028,2026-07-11 11:17,APL-BTM-M-017,APL-BTM-M-017-XXL-SAG,XXL,Sage,1,999,999,UPI,refunded,cancelled,MUM-FC1,,,,,,,Ahmedabad,380001
OI-000023,ORD-2026-000018,CUST-0028,2026-07-11 11:17,APL-BTM-F-079,APL-BTM-F-079-XXL-BLA,XXL,Black,3,1299,3897,UPI,refunded,cancelled,MUM-FC1,,,,,,,Ahmedabad,380001
OI-000024,ORD-2026-000019,CUST-0156,2026-06-16 15:32,APL-BTM-M-065,APL-BTM-M-065-XXL-OLI,XXL,Olive,1,1999,1999,Wallet,paid,delivered,MUM-FC1,Ekart,AWB5883955220,2026-06-18,2026-06-23,2026-06-19,,Chandigarh,160017
OI-000025,ORD-2026-000020,CUST-0062,2026-07-03 12:50,APL-TOP-F-024,APL-TOP-F-024-L-LIL,L,Lilac,2,1499,2998,Wallet,paid,delivered,MUM-FC1,Ekart,AWB9450540511,2026-07-03,2026-07-06,2026-07-05,,Lucknow,226001
OI-000026,ORD-2026-000020,CUST-0062,2026-07-03 12:50,APL-TOP-F-071,APL-TOP-F-071-XL-LIG,XL,Light Blue,1,2499,2499,Wallet,paid,delivered,MUM-FC1,Ekart,AWB9450540511,2026-07-03,2026-07-06,2026-07-05,,Lucknow,226001
OI-000027,ORD-2026-000021,CUST-0171,2026-07-05 14:32,APL-BTM-M-066,APL-BTM-M-066-M-GRE,M,Grey Melange,1,599,599,COD,paid,delivered,MUM-FC1,Ekart,AWB7264943241,2026-07-05,2026-07-11,2026-07-11,,Mumbai,400001
OI-000028,ORD-2026-000022,CUST-0076,2026-07-10 22:50,APL-TOP-F-070,APL-TOP-F-070-M-NAV,M,Navy,2,1199,2398,UPI,paid,out_for_delivery,DEL-FC1,Bluedart,AWB9358013058,2026-07-12,2026-07-17,,,Chennai,600001
OI-000029,ORD-2026-000023,CUST-0147,2026-06-30 12:03,APL-TOP-M-008,APL-TOP-M-008-L-ELE,L,Electric Blue,1,799,799,Netbanking,paid,delivered,DEL-FC1,Delhivery,AWB4677474002,2026-07-01,2026-07-07,2026-07-02,,Chennai,600001
OI-000030,ORD-2026-000024,CUST-0087,2026-06-27 22:17,APL-BTM-M-015,APL-BTM-M-015-M-BLA,M,Black,1,999,999,Credit/Debit Card,refunded,returned,DEL-FC1,Ekart,AWB9298937188,2026-06-28,2026-07-01,2026-07-04,Received damaged,Mumbai,400001
OI-000031,ORD-2026-000025,CUST-0173,2026-06-29 08:16,APL-TOP-M-058,APL-TOP-M-058-L-BLA,L,Black,2,599,1198,UPI,refunded,cancelled,MUM-FC1,,,,,,,Jaipur,302001
OI-000032,ORD-2026-000026,CUST-0028,2026-06-18 18:31,APL-BTM-M-017,APL-BTM-M-017-XS-SAG,XS,Sage,1,999,999,Wallet,paid,delivered,MUM-FC1,Bluedart,AWB3731500218,2026-06-19,2026-06-22,2026-06-23,,Chennai,600001
OI-000033,ORD-2026-000026,CUST-0028,2026-06-18 18:31,APL-BTM-F-027,APL-BTM-F-027-XL-IND,XL,Indigo,2,1999,3998,Wallet,paid,delivered,MUM-FC1,Bluedart,AWB3731500218,2026-06-19,2026-06-22,2026-06-23,,Chennai,600001
OI-000034,ORD-2026-000026,CUST-0028,2026-06-18 18:31,APL-TOP-M-003,APL-TOP-M-003-M-GRE,M,Grey Melange,1,1199,1199,Wallet,paid,delivered,MUM-FC1,Bluedart,AWB3731500218,2026-06-19,2026-06-22,2026-06-23,,Chennai,600001
OI-000035,ORD-2026-000026,CUST-0028,2026-06-18 18:31,APL-TOP-F-021,APL-TOP-F-021-L-TEA,L,Teal,1,2299,2299,Wallet,paid,delivered,MUM-FC1,Bluedart,AWB3731500218,2026-06-19,2026-06-22,2026-06-23,,Chennai,600001
OI-000036,ORD-2026-000027,CUST-0171,2026-06-07 18:18,APL-BTM-F-031,APL-BTM-F-031-S-LIG,S,Light Blue,1,999,999,UPI,paid,delivered,DEL-FC1,Ekart,AWB2389567515,2026-06-08,2026-06-12,2026-06-09,,Delhi,110001
OI-000037,ORD-2026-000027,CUST-0171,2026-06-07 18:18,APL-BTM-M-015,APL-BTM-M-015-L-NAV,L,Navy,1,999,999,UPI,paid,delivered,DEL-FC1,Ekart,AWB2389567515,2026-06-08,2026-06-12,2026-06-09,,Delhi,110001
OI-000038,ORD-2026-000027,CUST-0171,2026-06-07 18:18,APL-BTM-F-034,APL-BTM-F-034-L-DEE,L,Deep Blue,1,1299,1299,UPI,paid,delivered,DEL-FC1,Ekart,AWB2389567515,2026-06-08,2026-06-12,2026-06-09,,Delhi,110001
OI-000039,ORD-2026-000027,CUST-0171,2026-06-07 18:18,APL-BTM-M-013,APL-BTM-M-013-M-KHA,M,Khaki,1,1299,1299,UPI,paid,delivered,DEL-FC1,Ekart,AWB2389567515,2026-06-08,2026-06-12,2026-06-09,,Delhi,110001
OI-000040,ORD-2026-000028,CUST-0052,2026-06-12 09:16,APL-BTM-M-011,APL-BTM-M-011-M-NAV,M,Navy,1,1499,1499,COD,paid,delivered,DEL-FC1,Ekart,AWB9952785070,2026-06-13,2026-06-16,2026-06-18,,Kolkata,700001
OI-000041,ORD-2026-000028,CUST-0052,2026-06-12 09:16,APL-BTM-F-080,APL-BTM-F-080-S-COC,S,Cocoa,1,699,699,COD,paid,delivered,DEL-FC1,Ekart,AWB9952785070,2026-06-13,2026-06-16,2026-06-18,,Kolkata,700001
OI-000042,ORD-2026-000028,CUST-0052,2026-06-12 09:16,APL-TOP-M-051,APL-TOP-M-051-XS-OLI,XS,Olive-Cream,1,799,799,COD,paid,delivered,DEL-FC1,Ekart,AWB9952785070,2026-06-13,2026-06-16,2026-06-18,,Kolkata,700001
OI-000043,ORD-2026-000029,CUST-0073,2026-06-18 08:52,APL-ACC-M-035,APL-ACC-M-035-FS-GOL,Free Size,Gold-Green,1,999,999,COD,paid,delivered,MUM-FC1,DTDC,AWB3761190677,2026-06-18,2026-06-24,2026-06-19,,Chandigarh,160017
OI-000044,ORD-2026-000030,CUST-0027,2026-06-26 08:40,APL-BTM-M-014,APL-BTM-M-014-XL-CHA,XL,Charcoal,1,1999,1999,COD,not_charged,cancelled,BLR-FC1,,,,,,,Hyderabad,500001
OI-000045,ORD-2026-000031,CUST-0129,2026-07-09 16:04,APL-BTM-F-030,APL-BTM-F-030-XS-BLU,XS,Blush Pink,1,1499,1499,Credit/Debit Card,paid,delivered,DEL-FC1,Bluedart,AWB2643084753,2026-07-10,2026-07-15,2026-07-14,,Chennai,600001
OI-000046,ORD-2026-000031,CUST-0129,2026-07-09 16:04,APL-TOP-M-005,APL-TOP-M-005-XS-NAV,XS,Navy,1,1499,1499,Credit/Debit Card,paid,delivered,DEL-FC1,Bluedart,AWB2643084753,2026-07-10,2026-07-15,2026-07-14,,Chennai,600001
OI-000047,ORD-2026-000031,CUST-0129,2026-07-09 16:04,APL-ACC-M-089,APL-ACC-M-089-FS-MAC,Free Size,Matte Grey,1,1299,1299,Credit/Debit Card,paid,delivered,DEL-FC1,Bluedart,AWB2643084753,2026-07-10,2026-07-15,2026-07-14,,Chennai,600001
OI-000048,ORD-2026-000032,CUST-0085,2026-06-14 12:39,APL-BTM-F-027,APL-BTM-F-027-XL-BLA,XL,Black,3,1999,5997,UPI,refunded,returned,MUM-FC1,Delhivery,AWB7513471209,2026-06-16,2026-06-21,2026-06-20,Received damaged,Chennai,600001
OI-000049,ORD-2026-000033,CUST-0052,2026-07-09 15:01,APL-ACC-F-043,APL-ACC-F-043-FS-BLU,Free Size,Blush,1,1199,1199,COD,paid,delivered,BLR-FC1,XpressBees,AWB3497404815,2026-07-09,2026-07-11,2026-07-11,,Ahmedabad,380001
OI-000050,ORD-2026-000033,CUST-0052,2026-07-09 15:01,APL-BTM-M-062,APL-BTM-M-062-XL-WHI,XL,White,1,1499,1499,COD,paid,delivered,BLR-FC1,XpressBees,AWB3497404815,2026-07-09,2026-07-11,2026-07-11,,Ahmedabad,380001
OI-000051,ORD-2026-000034,CUST-0131,2026-07-07 13:14,APL-BTM-F-031,APL-BTM-F-031-XL-LIG,XL,Light Blue,1,999,999,COD,pending,out_for_delivery,DEL-FC1,XpressBees,AWB5899300192,2026-07-09,2026-07-14,,,Delhi,110001
OI-000052,ORD-2026-000035,CUST-0085,2026-07-16 21:25,APL-TOP-F-073,APL-TOP-F-073-XS-RUS,XS,Rust,1,1499,1499,Credit/Debit Card,paid,confirmed,BLR-FC1,,,,,,,Chandigarh,160017
OI-000053,ORD-2026-000036,CUST-0151,2026-07-15 20:17,APL-BTM-M-063,APL-BTM-M-063-M-COB,M,Cobalt,1,799,799,UPI,paid,shipped,BLR-FC1,Bluedart,AWB7489536623,2026-07-16,2026-07-21,,,Lucknow,226001
OI-000054,ORD-2026-000037,CUST-0110,2026-06-10 18:25,APL-TOP-F-072,APL-TOP-F-072-XXL-BLA,XXL,Black,1,2999,2999,COD,paid,delivered,DEL-FC1,Delhivery,AWB9029350509,2026-06-13,2026-06-18,2026-06-17,,Chandigarh,160017
OI-000055,ORD-2026-000038,CUST-0121,2026-07-01 12:47,APL-BTM-F-029,APL-BTM-F-029-M-BLA,M,Black,1,1499,1499,COD,paid,delivered,BLR-FC1,XpressBees,AWB1514290216,2026-07-03,2026-07-08,2026-07-09,,Hyderabad,500001
OI-000056,ORD-2026-000039,CUST-0128,2026-06-26 13:48,APL-BTM-M-015,APL-BTM-M-015-XS-BLA,XS,Black,1,999,999,UPI,paid,delivered,DEL-FC1,Ekart,AWB6322008130,2026-06-28,2026-07-02,2026-07-01,,Mumbai,400001
OI-000057,ORD-2026-000039,CUST-0128,2026-06-26 13:48,APL-TOP-M-001,APL-TOP-M-001-XXL-BLA,XXL,Black,1,499,499,UPI,paid,delivered,DEL-FC1,Ekart,AWB6322008130,2026-06-28,2026-07-02,2026-07-01,,Mumbai,400001
OI-000058,ORD-2026-000039,CUST-0128,2026-06-26 13:48,APL-TOP-M-055,APL-TOP-M-055-M-CAM,M,Camel,1,1799,1799,UPI,paid,delivered,DEL-FC1,Ekart,AWB6322008130,2026-06-28,2026-07-02,2026-07-01,,Mumbai,400001
OI-000059,ORD-2026-000040,CUST-0070,2026-07-10 12:36,APL-TOP-M-001,APL-TOP-M-001-XS-NAV,XS,Navy,1,499,499,COD,paid,delivered,DEL-FC1,Delhivery,AWB7209914506,2026-07-11,2026-07-16,2026-07-14,,Lucknow,226001
OI-000060,ORD-2026-000040,CUST-0070,2026-07-10 12:36,APL-BTM-M-011,APL-BTM-M-011-XS-KHA,XS,Khaki,1,1499,1499,COD,paid,delivered,DEL-FC1,Delhivery,AWB7209914506,2026-07-11,2026-07-16,2026-07-14,,Lucknow,226001
OI-000061,ORD-2026-000040,CUST-0070,2026-07-10 12:36,APL-TOP-M-001,APL-TOP-M-001-XXL-NAV,XXL,Navy,1,499,499,COD,paid,delivered,DEL-FC1,Delhivery,AWB7209914506,2026-07-11,2026-07-16,2026-07-14,,Lucknow,226001
OI-000062,ORD-2026-000041,CUST-0151,2026-07-10 22:59,APL-TOP-M-059,APL-TOP-M-059-L-IVO,L,Ivory,1,2299,2299,COD,paid,delivered,DEL-FC1,Delhivery,AWB3929490109,2026-07-11,2026-07-14,2026-07-17,,Ahmedabad,380001
OI-000063,ORD-2026-000041,CUST-0151,2026-07-10 22:59,APL-TOP-M-007,APL-TOP-M-007-M-WHI,M,White,1,1499,1499,COD,paid,delivered,DEL-FC1,Delhivery,AWB3929490109,2026-07-11,2026-07-14,2026-07-17,,Ahmedabad,380001
OI-000064,ORD-2026-000042,CUST-0033,2026-06-03 18:45,APL-TOP-M-002,APL-TOP-M-002-S-SKY,S,Sky Blue,1,1499,1499,UPI,paid,delivered,BLR-FC1,Delhivery,AWB3503497687,2026-06-03,2026-06-07,2026-06-07,,Lucknow,226001
OI-000065,ORD-2026-000043,CUST-0078,2026-07-01 13:41,APL-TOP-M-057,APL-TOP-M-057-XS-BLA,XS,Black,1,2499,2499,COD,paid,delivered,DEL-FC1,Delhivery,AWB1237549135,2026-07-03,2026-07-07,2026-07-05,,Jaipur,302001
OI-000066,ORD-2026-000044,CUST-0059,2026-06-02 11:31,APL-TOP-M-053,APL-TOP-M-053-M-WHI,M,White,1,1999,1999,UPI,refunded,cancelled,BLR-FC1,,,,,,,Kolkata,700001
OI-000067,ORD-2026-000045,CUST-0130,2026-07-15 11:19,APL-BTM-M-010,APL-BTM-M-010-L-JET,L,Jet Black,2,1999,3998,COD,pending,shipped,BLR-FC1,Delhivery,AWB6254137170,2026-07-17,2026-07-23,,,Chennai,600001
OI-000068,ORD-2026-000046,CUST-0038,2026-07-11 08:38,APL-ACC-F-098,APL-ACC-F-098-L-NUD,L,Nude,1,399,399,UPI,paid,delivered,BLR-FC1,Ekart,AWB5001172194,2026-07-13,2026-07-15,2026-07-16,,Kolkata,700001
OI-000069,ORD-2026-000047,CUST-0009,2026-06-15 21:23,APL-TOP-M-053,APL-TOP-M-053-XXL-SAN,XXL,Sand,1,1999,1999,UPI,paid,delivered,BLR-FC1,Delhivery,AWB4259042513,2026-06-17,2026-06-19,2026-06-21,,Mumbai,400001
OI-000070,ORD-2026-000048,CUST-0111,2026-07-15 11:23,APL-TOP-M-009,APL-TOP-M-009-S-BLA,S,Black,1,3999,3999,UPI,paid,shipped,BLR-FC1,Delhivery,AWB8587781294,2026-07-17,2026-07-20,,,Chandigarh,160017
OI-000071,ORD-2026-000049,CUST-0016,2026-06-14 22:38,APL-BTM-F-080,APL-BTM-F-080-XS-COC,XS,Cocoa,2,699,1398,Wallet,paid,delivered,DEL-FC1,Ekart,AWB9264496652,2026-06-17,2026-06-21,2026-06-20,,Kochi,682001
OI-000072,ORD-2026-000050,CUST-0163,2026-07-10 21:14,APL-TOP-F-023,APL-TOP-F-023-XS-CHA,XS,Champagne,1,2299,2299,COD,paid,delivered,BLR-FC1,XpressBees,AWB1785718034,2026-07-12,2026-07-17,2026-07-18,,Kolkata,700001
OI-000073,ORD-2026-000051,CUST-0084,2026-06-25 20:50,APL-TOP-M-008,APL-TOP-M-008-XS-STE,XS,Steel Grey,1,799,799,COD,paid,delivered,DEL-FC1,XpressBees,AWB7634077870,2026-06-26,2026-06-28,2026-06-28,,Delhi,110001
OI-000074,ORD-2026-000051,CUST-0084,2026-06-25 20:50,APL-TOP-M-006,APL-TOP-M-006-S-OLI,S,Olive,1,2999,2999,COD,paid,delivered,DEL-FC1,XpressBees,AWB7634077870,2026-06-26,2026-06-28,2026-06-28,,Delhi,110001
OI-000075,ORD-2026-000051,CUST-0084,2026-06-25 20:50,APL-BTM-F-028,APL-BTM-F-028-XS-BLA,XS,Black,1,1499,1499,COD,paid,delivered,DEL-FC1,XpressBees,AWB7634077870,2026-06-26,2026-06-28,2026-06-28,,Delhi,110001
OI-000076,ORD-2026-000051,CUST-0084,2026-06-25 20:50,APL-ACC-M-091,APL-ACC-M-091-FS-BEI,Free Size,Beige,1,799,799,COD,paid,delivered,DEL-FC1,XpressBees,AWB7634077870,2026-06-26,2026-06-28,2026-06-28,,Delhi,110001
OI-000077,ORD-2026-000052,CUST-0115,2026-07-07 15:39,APL-BTM-M-013,APL-BTM-M-013-XL-STO,XL,Stone Grey,1,1299,1299,COD,paid,delivered,DEL-FC1,Ekart,AWB6444583503,2026-07-08,2026-07-14,2026-07-11,,Lucknow,226001
OI-000078,ORD-2026-000052,CUST-0115,2026-07-07 15:39,APL-TOP-M-057,APL-TOP-M-057-XXL-OLI,XXL,Olive,1,2499,2499,COD,paid,delivered,DEL-FC1,Ekart,AWB6444583503,2026-07-08,2026-07-14,2026-07-11,,Lucknow,226001
OI-000079,ORD-2026-000053,CUST-0040,2026-06-04 11:20,APL-TOP-F-020,APL-TOP-F-020-XS-SAG,XS,Sage,1,799,799,UPI,paid,delivered,DEL-FC1,Delhivery,AWB1439514423,2026-06-06,2026-06-08,2026-06-10,,Jaipur,302001
OI-000080,ORD-2026-000053,CUST-0040,2026-06-04 11:20,APL-TOP-M-059,APL-TOP-M-059-XL-MAR,XL,Maroon,1,2299,2299,UPI,paid,delivered,DEL-FC1,Delhivery,AWB1439514423,2026-06-06,2026-06-08,2026-06-10,,Jaipur,302001
OI-000081,ORD-2026-000053,CUST-0040,2026-06-04 11:20,APL-ACC-M-046,APL-ACC-M-046-M-GRE,M,Grey,1,499,499,UPI,paid,delivered,DEL-FC1,Delhivery,AWB1439514423,2026-06-06,2026-06-08,2026-06-10,,Jaipur,302001
OI-000082,ORD-2026-000054,CUST-0049,2026-06-09 11:59,APL-TOP-F-023,APL-TOP-F-023-S-EME,S,Emerald,1,2299,2299,UPI,paid,delivered,BLR-FC1,Delhivery,AWB2501948479,2026-06-09,2026-06-15,2026-06-10,,Kochi,682001
OI-000083,ORD-2026-000055,CUST-0066,2026-07-17 21:00,APL-BTM-F-082,APL-BTM-F-082-XL-CHE,XL,Checked Grey,1,1199,1199,COD,pending,confirmed,BLR-FC1,,,,,,,Kochi,682001
OI-000084,ORD-2026-000056,CUST-0017,2026-06-11 18:35,APL-BTM-M-067,APL-BTM-M-067-XL-RUS,XL,Rust,1,1799,1799,COD,paid,delivered,MUM-FC1,Ekart,AWB5515559764,2026-06-12,2026-06-16,2026-06-18,,Kolkata,700001
OI-000085,ORD-2026-000056,CUST-0017,2026-06-11 18:35,APL-BTM-F-078,APL-BTM-F-078-M-DAR,M,Dark Blue,2,1999,3998,COD,paid,delivered,MUM-FC1,Ekart,AWB5515559764,2026-06-12,2026-06-16,2026-06-18,,Kolkata,700001
OI-000086,ORD-2026-000057,CUST-0094,2026-06-28 14:13,APL-TOP-F-072,APL-TOP-F-072-XS-MAU,XS,Mauve,1,2999,2999,UPI,paid,delivered,DEL-FC1,XpressBees,AWB4320243759,2026-06-30,2026-07-05,2026-07-02,,Mumbai,400001
OI-000087,ORD-2026-000058,CUST-0102,2026-07-16 19:32,APL-TOP-M-005,APL-TOP-M-005-XXL-BEI,XXL,Beige,1,1499,1499,UPI,paid,shipped,DEL-FC1,Delhivery,AWB2295427821,2026-07-18,2026-07-21,,,Delhi,110001
OI-000088,ORD-2026-000058,CUST-0102,2026-07-16 19:32,APL-BTM-M-060,APL-BTM-M-060-XL-WAS,XL,Washed Blue,2,1999,3998,UPI,paid,shipped,DEL-FC1,Delhivery,AWB2295427821,2026-07-18,2026-07-21,,,Delhi,110001
OI-000089,ORD-2026-000058,CUST-0102,2026-07-16 19:32,APL-BTM-F-031,APL-BTM-F-031-XL-LIG,XL,Light Blue,1,999,999,UPI,paid,shipped,DEL-FC1,Delhivery,AWB2295427821,2026-07-18,2026-07-21,,,Delhi,110001
OI-000090,ORD-2026-000059,CUST-0159,2026-06-05 18:50,APL-TOP-F-023,APL-TOP-F-023-XXL-EME,XXL,Emerald,1,2299,2299,COD,paid,delivered,BLR-FC1,Bluedart,AWB3224331435,2026-06-07,2026-06-09,2026-06-11,,Hyderabad,500001
OI-000091,ORD-2026-000060,CUST-0050,2026-07-18 18:53,APL-ACC-M-039,APL-ACC-M-039-FS-BLA,Free Size,Black-Red,1,1299,1299,COD,pending,confirmed,BLR-FC1,,,,,,,Lucknow,226001
OI-000092,ORD-2026-000061,CUST-0169,2026-06-24 10:01,APL-TOP-M-059,APL-TOP-M-059-L-IVO,L,Ivory,1,2299,2299,Wallet,refunded,cancelled,DEL-FC1,,,,,,,Ahmedabad,380001
OI-000093,ORD-2026-000061,CUST-0169,2026-06-24 10:01,APL-BTM-M-013,APL-BTM-M-013-XS-KHA,XS,Khaki,1,1299,1299,Wallet,refunded,cancelled,DEL-FC1,,,,,,,Ahmedabad,380001
OI-000094,ORD-2026-000062,CUST-0018,2026-07-15 13:05,APL-BTM-M-065,APL-BTM-M-065-XL-OLI,XL,Olive,1,1999,1999,COD,pending,packed,MUM-FC1,,,,,,,Bengaluru,560001
OI-000095,ORD-2026-000063,CUST-0131,2026-07-15 18:50,APL-BTM-F-084,APL-BTM-F-084-S-TAU,S,Taupe,1,1499,1499,Wallet,paid,confirmed,MUM-FC1,,,,,,,Chandigarh,160017
OI-000096,ORD-2026-000064,CUST-0043,2026-06-15 11:04,APL-BTM-F-084,APL-BTM-F-084-XL-BLA,XL,Black,1,1499,1499,UPI,paid,delivered,MUM-FC1,Ekart,AWB9245941268,2026-06-16,2026-06-20,2026-06-18,,Pune,411001
OI-000097,ORD-2026-000064,CUST-0043,2026-06-15 11:04,APL-TOP-M-058,APL-TOP-M-058-XXL-WHI,XXL,White,1,599,599,UPI,paid,delivered,MUM-FC1,Ekart,AWB9245941268,2026-06-16,2026-06-20,2026-06-18,,Pune,411001
OI-000098,ORD-2026-000065,CUST-0047,2026-06-19 12:43,APL-ACC-M-092,APL-ACC-M-092-FS-BLA,Free Size,Black-Grey,1,699,699,Credit/Debit Card,paid,delivered,DEL-FC1,DTDC,AWB4848724787,2026-06-19,2026-06-23,2026-06-22,,Chennai,600001
OI-000099,ORD-2026-000065,CUST-0047,2026-06-19 12:43,APL-TOP-M-051,APL-TOP-M-051-M-OLI,M,Olive-Cream,1,799,799,Credit/Debit Card,paid,delivered,DEL-FC1,DTDC,AWB4848724787,2026-06-19,2026-06-23,2026-06-22,,Chennai,600001
OI-000100,ORD-2026-000065,CUST-0047,2026-06-19 12:43,APL-ACC-M-046,APL-ACC-M-046-S-GRE,S,Grey,1,499,499,Credit/Debit Card,paid,delivered,DEL-FC1,DTDC,AWB4848724787,2026-06-19,2026-06-23,2026-06-22,,Chennai,600001
